pair_index,frame_id,old_source,new_source,paired_output
020,0025,test/our/DTU/scan114-10k可/color_020.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0025_rgb.png,pairs/pair_020_frame_0025.png
021,0026,test/our/DTU/scan114-10k可/color_021.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0026_rgb.png,pairs/pair_021_frame_0026.png
022,0027,test/our/DTU/scan114-10k可/color_022.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0027_rgb.png,pairs/pair_022_frame_0027.png
023,0028,test/our/DTU/scan114-10k可/color_023.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0028_rgb.png,pairs/pair_023_frame_0028.png
024,0029,test/our/DTU/scan114-10k可/color_024.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0029_rgb.png,pairs/pair_024_frame_0029.png
025,0030,test/our/DTU/scan114-10k可/color_025.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0030_rgb.png,pairs/pair_025_frame_0030.png
026,0031,test/our/DTU/scan114-10k可/color_026.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0031_rgb.png,pairs/pair_026_frame_0031.png
027,0032,test/our/DTU/scan114-10k可/color_027.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0032_rgb.png,pairs/pair_027_frame_0032.png
028,0033,test/our/DTU/scan114-10k可/color_028.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0033_rgb.png,pairs/pair_028_frame_0033.png
029,0034,test/our/DTU/scan114-10k可/color_029.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0034_rgb.png,pairs/pair_029_frame_0034.png
030,0035,test/our/DTU/scan114-10k可/color_030.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0035_rgb.png,pairs/pair_030_frame_0035.png
031,0036,test/our/DTU/scan114-10k可/color_031.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0036_rgb.png,pairs/pair_031_frame_0036.png
032,0037,test/our/DTU/scan114-10k可/color_032.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0037_rgb.png,pairs/pair_032_frame_0037.png
033,0038,test/our/DTU/scan114-10k可/color_033.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0038_rgb.png,pairs/pair_033_frame_0038.png
034,0039,test/our/DTU/scan114-10k可/color_034.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0039_rgb.png,pairs/pair_034_frame_0039.png
035,0040,test/our/DTU/scan114-10k可/color_035.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0040_rgb.png,pairs/pair_035_frame_0040.png
036,0041,test/our/DTU/scan114-10k可/color_036.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0041_rgb.png,pairs/pair_036_frame_0041.png
037,0042,test/our/DTU/scan114-10k可/color_037.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0042_rgb.png,pairs/pair_037_frame_0042.png
038,0043,test/our/DTU/scan114-10k可/color_038.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0043_rgb.png,pairs/pair_038_frame_0043.png
039,0044,test/our/DTU/scan114-10k可/color_039.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0044_rgb.png,pairs/pair_039_frame_0044.png
040,0045,test/our/DTU/scan114-10k可/color_040.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0045_rgb.png,pairs/pair_040_frame_0045.png
041,0046,test/our/DTU/scan114-10k可/color_041.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0046_rgb.png,pairs/pair_041_frame_0046.png
042,0048,test/our/DTU/scan114-10k可/color_042.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0048_rgb.png,pairs/pair_042_frame_0048.png
